Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
High Rise Entertainment CIC,NPO,£0,£0,"£150,000",Theatre,London,London,Finchley and Golders Green,Barnet,Non-LUCP,Non-Priority place,,
Highlights Productions,NPO,"£119,800","£122,004","£175,734",Combined arts,North,North West,Penrith and The Border,Eden,Non-LUCP,Non-Priority place,,
HighTide Festival Productions LTD,NPO,"£191,654","£195,180","£195,180",Theatre,South East,East of England,Suffolk Coastal,East Suffolk,Non-LUCP,Non-Priority place,,
Hofesh Shechter Company,NPO,"£383,307","£390,360","£390,360",Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Home Live Art,NPO,"£75,435","£76,823","£76,823",Combined arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,,
Homotopia Limited,NPO,"£100,000","£101,840","£101,840",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Hoot Creative Arts,NPO,"£40,166","£40,905","£110,000",Combined arts,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,,
Hospital Rooms,NPO,£0,£0,"£120,000",Visual arts,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,,
Hounslow Arts Trust Ltd,NPO,"£120,696","£122,917","£122,917",Combined arts,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,,
Huddersfield Contemporary Music Festival,NPO,"£241,627","£246,073","£286,073",Music,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,,
Hull City Council,NPO,"£996,409","£1,014,743","£1,112,243",Museums,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Hull Culture and Leisure Library Services,NPO,£0,£0,"£75,000",Libraries,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Hull Truck Theatre,NPO,"£790,680","£805,229","£805,229",Theatre,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Humanhood,NPO,£0,£0,"£250,000",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Icon Theatre,NPO,£0,£0,"£263,000",Theatre,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
idle women,NPO,£0,£0,"£114,000",Combined arts,North,North West,Hyndburn,Hyndburn,LUCP,Non-Priority place,,
Ikon Gallery,NPO,"£1,009,728","£1,028,307","£902,621",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Ilkley Literature Festival Ltd,NPO,"£137,424","£139,953","£139,953",Literature,North,Yorkshire and The Humber,Keighley,Bradford,Non-LUCP,Non-Priority place,,
ILUVLIVE,NPO,"£103,856","£105,767","£105,767",Music,London,London,Streatham,Lambeth,Non-LUCP,Non-Priority place,,
imitating the dog,NPO,"£188,000","£191,459","£191,459",Theatre,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,,
Impact Dance Foundation,NPO,£0,£0,"£289,900",Dance,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Impressions Gallery of Photography Limited,NPO,"£202,281","£206,003","£206,003",Visual arts,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
Improbable,NPO (Transfer),"£216,533","£220,517","£220,517",Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Index on Censorship,IPSO,"£43,122","£43,915","£50,000",Literature,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Inner City Music Ltd,NPO,"£180,000","£183,312","£183,312",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Inpress Ltd,IPSO,"£158,489","£161,405","£161,405",Literature,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
In-Situ,NPO,"£139,000","£141,558","£141,558",Visual arts,North,North West,Pendle,Pendle,LUCP,Non-Priority place,,
Inspirate,NPO,£0,£0,"£250,000",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Institute of Contemporary Arts,NPO,"£862,441","£878,310","£678,310",Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Institute Of Cultural & Creative Industries,NPO,"£273,769","£278,806","£278,806",Combined arts,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
Institute of International Visual Arts,NPO,"£228,344","£232,546","£263,685",Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
International Curators Forum,NPO,"£150,000","£152,760","£152,760",Visual arts,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,,
Interplay Theatre Trust,NPO,"£151,017","£153,796","£153,796",Theatre,North,Yorkshire and The Humber,Leeds West,Leeds,Non-LUCP,Non-Priority place,,
Intoart,NPO,"£120,298","£122,511","£205,156",Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
intoBodmin CIC,NPO,£0,£0,"£80,000",Combined arts,South West,South West,North Cornwall,Cornwall,Non-LUCP,Non-Priority place,,
Invisible Flock Co,NPO,"£195,000","£198,588","£198,588",Combined arts,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
IOU Ltd,NPO,"£185,000","£188,404","£188,404",Combined arts,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,,
IRIE! dance theatre,NPO,£0,£0,"£239,392",Dance,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Ironbridge Gorge Museum Trust,NPO,"£1,043,759","£1,062,964","£749,709",Museums,Midlands,West Midlands,Telford,Telford and Wrekin,Non-LUCP,Non-Priority place,"In 2018-22, Ironbridge Gorge Museum Trust was funded as a Museum Development provider and an NPO.",
JACARANDA BOOKS,NPO,£0,£0,"£150,000",Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Jacksons Lane,NPO,"£129,748","£132,135","£132,135",Combined arts,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,,
Jaivant Patel Company CIC,NPO,£0,£0,"£195,000",Dance,Midlands,West Midlands,Wolverhampton South East,Wolverhampton,LUCP,Priority place,,
Jarrow Hall,NPO,£0,£0,"£125,000",Museums,North,North East,Jarrow,South Tyneside,LUCP,Priority place,,
Jasmin Vardimon Dance Company,NPO,"£289,567","£294,895","£389,895",Dance,South East,South East,Ashford,Ashford,Non-LUCP,Non-Priority place,,
Jazz North,NPO,"£190,000","£193,496","£193,496",Music,North,Yorkshire and The Humber,Calder Valley,Calderdale,Non-LUCP,Non-Priority place,,
Jazz re:freshed,NPO,"£130,795","£133,202","£300,000",Music,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Jelly,NPO,£0,£0,"£60,000",Visual arts,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,,
Jewish Museum London,NPO,£0,"£224,048","£224,000",Museums,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period.",
Jewish Music Institute,NPO,£0,£0,"£128,333",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
John Hansard Gallery,NPO,"£601,511","£612,579","£612,579",Visual arts,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
Jumped Up Theatre,NPO,£0,£0,"£150,000",Theatre,South East,East of England,Peterborough,Peterborough,LUCP,Priority place,,
Junction Arts Limited,NPO,"£100,580","£102,431","£252,431",Combined arts,Midlands,East Midlands,Chesterfield,Chesterfield,LUCP,Priority place,,
Junction CDC Ltd,NPO,"£637,418","£649,146","£649,146",Combined arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
Just Us Dance Theatre Company,NPO,£0,£0,"£180,000",Dance,London,London,Chingford and Woodford Green,Redbridge,Non-LUCP,Non-Priority place,,
Kakilang Ltd,NPO,"£175,000","£178,220","£178,220",Combined arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Kala Sangam,NPO,"£100,000","£101,840","£361,840",Combined arts,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,,
Kala The Arts,NPO,£0,£0,"£110,000",Dance,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,,
Kali Theatre Co.,NPO,"£196,500","£200,116","£200,116",Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
KARST,NPO,"£140,000","£142,576","£142,576",Visual arts,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Kayd Somali Arts and Culture,NPO,£0,£0,"£150,000",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Kendal Brewery Arts Centre,NPO,"£321,854","£327,776","£327,776",Combined arts,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,,
Kent County Council Libraries,NPO,£0,£0,"£285,290",Libraries,South East,South East,Maidstone and The Weald,Maidstone,Non-LUCP,Non-Priority place,,
Kettle's Yard,NPO,"£290,757","£296,107","£296,107",Visual arts,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
Kids in Museums,IPSO,"£160,000","£162,944","£162,944",Museums,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Kiln Theatre,NPO,"£829,519","£844,782","£945,901",Theatre,London,London,Hampstead and Kilburn,Brent,Non-LUCP,Priority place,,
Kinetika Bloco,NPO,"£80,000","£81,472","£81,472",Combined arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
Kinetika People,NPO,"£123,850","£126,129","£126,129",Combined arts,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,,
Kirklees Museums and Galleries,NPO,£0,£0,"£284,103",Museums,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,,
Kirklees Theatre Trust,NPO,"£148,531","£151,264","£151,264",Combined arts,North,Yorkshire and The Humber,Huddersfield,Kirklees,LUCP,Priority place,,
Knowle West Media Centre,NPO,"£90,522","£92,188","£92,188",Combined arts,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
Koestler Trust,NPO,"£75,000","£76,380","£76,380",Combined arts,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,,
Lakes Arts Festivals Ltd,NPO,"£234,000","£238,306","£238,306",Literature,North,North West,Westmorland and Lonsdale,South Lakeland,Non-LUCP,Non-Priority place,,
Lancaster Arts at Lancaster University,NPO,"£103,053","£104,949","£104,949",Combined arts,North,North West,Lancaster and Fleetwood,Lancaster,Non-LUCP,Non-Priority place,,
Lapworth Museum of Geology,NPO,"£104,746","£106,673","£106,673",Museums,Midlands,West Midlands,"Birmingham, Edgbaston",Birmingham,Non-LUCP,Non-Priority place,,
Latinolife,NPO,£0,£0,"£125,000",Music,London,London,Hornsey and Wood Green,Haringey,Non-LUCP,Non-Priority place,,
Ledbury Poetry Festival,NPO,"£53,066","£54,042","£108,042",Literature,Midlands,West Midlands,North Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,,
Leeds Museums and Galleries,NPO,"£1,590,000","£1,619,256","£1,619,256",Museums,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Leeds Theatre Trust Limited,NPO,"£1,508,104","£1,535,853","£1,535,853",Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Legacy Centre Of Excellence,NPO,£0,£0,"£750,000",Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Leicester Arts Centre Limited,NPO,"£80,464","£81,945","£81,945",Visual arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Leicester City Council,NPO,"£400,000","£407,360","£407,360",Museums,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Leicester Dance Theatre Limited,NPO,"£365,000","£371,716","£371,716",Dance,Midlands,East Midlands,Leicester East,Leicester,Non-LUCP,Non-Priority place,,
Leicester Print Workshop,NPO,"£70,290","£71,583","£70,290",Visual arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Leicester Theatre Trust Ltd,NPO,"£1,914,029","£1,949,247","£1,949,247",Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Leicestershire County Council,NPO,£0,"£303,665","£260,999",Museums,Midlands,East Midlands,Charnwood,Blaby,Non-LUCP,Non-Priority place,"In 2018-22, Leicestershire County Council were funded as a Museum Development provider and are now an NPO in their own right.",
Level Centre Ltd,NPO,"£138,800","£141,354","£141,354",Combined arts,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales,Non-LUCP,Non-Priority place,,
Libraries Connected,IPSO (Transfer),"£500,000","£509,200","£509,200",Libraries,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,,
Libraries Unlimited South West,NPO,"£171,959","£175,123","£240,123",Libraries,South West,South West,Exeter,Exeter,Non-LUCP,Non-Priority place,,
Lincolnshire County Council,NPO,"£71,411","£72,725","£205,910",Museums,Midlands,East Midlands,Lincoln,Lincoln,Non-LUCP,Non-Priority place,,
Literature Works,NPO,"£96,556","£98,333","£98,333",Literature,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Little Bulb Theatre,NPO,£0,£0,"£240,000",Theatre,South West,South West,Somerton and Frome,Mendip,Non-LUCP,Non-Priority place,,
Littleworld Ltd t/a Horse and Bamboo Theatre,NPO,"£123,632","£125,907","£160,907",Theatre,North,North West,Rossendale and Darwen,Rossendale,LUCP,Non-Priority place,,
Live & Local Ltd,NPO,"£291,464","£296,827","£451,775",Combined arts,Midlands,West Midlands,Warwick and Leamington,Warwick,Non-LUCP,Non-Priority place,,
Live Art Development Agency,NPO,"£235,846","£240,186","£240,186",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Liverpool & Merseyside Theatres Trust Ltd,NPO,"£1,649,977","£1,680,337","£1,680,337",Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period.",
Liverpool Arab Arts Festival,NPO,"£110,000","£112,024","£200,912",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Liverpool Biennial of Contemporary Art Ltd,NPO,"£788,355","£802,861","£802,861",Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Liverpool Lighthouse,NPO,£0,£0,"£135,000",Music,North,North West,"Liverpool, Walton",Liverpool,Non-LUCP,Non-Priority place,,
London Arts in Health Forum,IPSO,"£65,662","£66,870","£66,870",Combined arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
London Borough of Barking and Dagenham,NPO,"£180,000","£183,312","£183,312",Libraries,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,,
London Borough of Merton,NPO,£0,£0,"£116,050",Libraries,London,London,Wimbledon,Merton,Non-LUCP,Non-Priority place,,
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,NPO,"£60,000","£61,104","£61,104",Visual arts,London,London,Walthamstow,Waltham Forest,Non-LUCP,Non-Priority place,,
London International Festival of Theatre,NPO,"£452,608","£460,936","£460,936",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
London Philharmonic Orchestra,NPO,"£2,042,222","£2,079,799","£1,830,223",Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,,
London Symphony Orchestra,NPO,"£2,206,050","£2,246,641","£1,977,044",Music,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
London Transport Museum,NPO,"£249,000","£253,582","£253,582",Museums,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Loud In Libraries CIC,NPO,"£113,490","£115,578","£167,278",Music,North,North West,Wigan,Wigan,LUCP,Priority place,,
LUNG Productions CIO,NPO,£0,£0,"£206,699",Theatre,North,Yorkshire and The Humber,Penistone and Stocksbridge,Barnsley,LUCP,Priority place,,
Luton Carnival Arts Development Trust,NPO,"£150,000","£152,760","£171,260",Combined arts,South East,East of England,Luton South,Luton,LUCP,Priority place,,
Luton Cultural Services Trust - Wardown House,NPO,"£249,000","£253,582","£332,638",Museums,South East,East of England,Luton South,Luton,LUCP,Priority place,,
LUX,NPO,"£202,122","£205,841","£205,841",Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Lyrici Arts,NPO,£0,£0,"£222,476",Theatre,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
M6 THEATRE COMPANY LIMITED,NPO,"£199,320","£202,987","£300,000",Theatre,North,North West,Rochdale,Rochdale,LUCP,Priority place,,
Madlove Ltd,NPO,£0,£0,"£150,000",Combined arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,,
Magic Me,NPO,£0,£0,"£157,994",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Magic Sound Ltd,NPO,£0,£0,"£150,000",Music,London,London,Brent Central,Brent,Non-LUCP,Priority place,,
Magna Vitae,NPO,"£150,000","£152,760","£320,796",Combined arts,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,,
Magpie Dance,NPO,£0,£0,"£150,000",Dance,London,London,Bromley and Chislehurst,Bromley,Non-LUCP,Non-Priority place,,
Mahogany Community Ventures Limited,NPO,"£154,992","£157,844","£157,844",Combined arts,London,London,Brent Central,Brent,Non-LUCP,Priority place,,
MAIA,NPO,£0,£0,"£273,600",Combined arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
MAKE Southwest,NPO,"£155,557","£158,419","£158,149",Visual arts,South West,South West,Central Devon,Teignbridge,Non-LUCP,Non-Priority place,,
"Making Music, the National Federation of Music Societies",IPSO (Transfer),£0,£0,"£85,550",Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Manchester Camerata Limited,NPO,"£156,620","£159,502","£159,502",Music,North,North West,"Manchester, Gorton",Manchester,Non-LUCP,Non-Priority place,,
Manchester City Galleries,NPO,"£1,597,659","£1,627,056","£1,627,056",Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Manchester Collective,NPO,£0,£0,"£120,000",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Manchester Craft And Design,NPO,"£80,000","£81,472","£81,472",Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Manchester Jazz Festival,NPO,"£150,522","£153,292","£153,292",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Manchester Jewish Museum,NPO,"£110,000","£112,024","£112,024",Museums,North,North West,Blackley and Broughton,Manchester,Non-LUCP,Non-Priority place,,
Manchester Literature Festival,NPO,"£76,661","£78,072","£78,072",Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Manchester Young People's Theatre trading as Contact,NPO,"£916,435","£933,297","£933,297",Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Mandala Theatre Company CIO,NPO,£0,£0,"£90,000",Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Mansfield District Council,NPO,£0,£0,"£579,304",Combined arts,Midlands,East Midlands,Mansfield,Mansfield,LUCP,Priority place,,
Marlborough Theatre Productions Ltd,NPO,£0,£0,"£225,000",Theatre,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,,
Marsm,NPO,£0,£0,"£150,000",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Matt's Gallery Ltd,NPO,"£153,385","£156,207","£156,207",Visual arts,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,,
Mayflower Academy Ltd,NPO,£0,£0,"£950,000",Theatre,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
MAYK Theatre CIC,NPO,"£90,000","£91,656","£91,656",Theatre,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,,
Meadow Arts,NPO,"£160,928","£163,889","£163,889",Visual arts,Midlands,Wales,Brecon and Radnorshire,Powys,Non-LUCP,Non-Priority place,,
Mediale,NPO,£0,£0,"£196,000",Visual arts,North,Yorkshire and The Humber,Selby and Ainsty,Selby,LUCP,Priority place,,
Mercury Musical Developments,NPO (Transfer),"£124,467","£126,757","£126,757",Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Metal Culture Ltd,NPO,"£565,378","£575,781","£575,781",Combined arts,South East,East of England,Southend West,Southend-on-Sea,Non-LUCP,Non-Priority place,,
Metro-Boulot-Dodo Limited,NPO,"£140,000","£142,576","£142,576",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
MeWe Foundation,IPSO,"£195,000","£198,588","£198,588",Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Middle Child,NPO,"£150,000","£152,760","£152,760",Theatre,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Middlesbrough Town Hall,NPO,"£249,000","£253,582","£253,500",Music,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,,
Midlands Arts Centre,NPO,"£739,146","£752,746","£752,746",Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,,
MIF,NPO,"£9,729,134","£9,908,150","£9,908,150",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Mikron Theatre Company,NPO,"£47,800","£48,680","£70,000",Theatre,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,,
Milap Festival Trust,NPO,"£362,908","£369,586","£477,389",Combined arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
Milton Keynes Arts Centre LTD,NPO,"£98,000","£99,803","£99,803",Visual arts,South East,South East,Milton Keynes North,Milton Keynes,Non-LUCP,Non-Priority place,,
Milton Keynes Islamic Arts Heritage and Culture Organisation,NPO,£0,£0,"£195,000",Combined arts,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,,
Mimbre,NPO,"£125,773","£128,087","£128,087",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Mimosa House,NPO,£0,£0,"£100,000",Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Mind the Gap,NPO,"£246,390","£250,924","£310,864",Theatre,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
Miracle Theatre Trust Ltd,NPO,"£95,000","£96,748","£96,748",Theatre,South West,South West,Camborne and Redruth,Cornwall,Non-LUCP,Non-Priority place,,
MishMash Music,NPO,£0,£0,"£133,000",Music,Midlands,East Midlands,Broxtowe,Broxtowe,Non-LUCP,Non-Priority place,,
MK Gallery,NPO,"£383,307","£390,360","£390,360",Visual arts,South East,South East,Milton Keynes North,Milton Keynes,Non-LUCP,Non-Priority place,,
Modern Art Oxford,NPO,"£892,347","£908,766","£908,766",Visual arts,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Modern Poetry in Translation,NPO,"£50,000","£50,920","£70,920",Literature,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,,
Modus Arts,NPO (Transfer),£0,£0,"£150,000",Visual arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,,
More Music,NPO,"£105,609","£107,552","£107,552",Music,North,North West,Morecambe and Lunesdale,Lancaster,Non-LUCP,Non-Priority place,,
Mortal Fools,NPO,£0,£0,"£180,000",Theatre,North,North East,Wansbeck,Northumberland,LUCP,Non-Priority place,,
Motionhouse,NPO,"£468,806","£477,432","£477,432",Dance,Midlands,West Midlands,Warwick and Leamington,Warwick,Non-LUCP,Non-Priority place,,
Multistory,NPO,"£140,812","£143,403","£243,361",Combined arts,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,,
Multi-Story Music,NPO,£0,£0,"£150,000",Music,South East,South East,Oxford West and Abingdon,Oxford,Non-LUCP,Non-Priority place,,
Museum of East Anglian Life,NPO,"£147,504","£150,218","£358,218",Museums,South East,East of England,Bury St Edmunds,Mid Suffolk,Non-LUCP,Non-Priority place,,
Museum of English Rural Life,NPO,"£249,999","£254,599","£304,499",Museums,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,,
Museum of London,NPO,"£1,344,820","£1,369,565","£1,120,240",Museums,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,"In 2018-22, Museum of London was funded as a Museum Development provider and an NPO.",
Music Action International,NPO,£0,£0,"£110,000",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Music for Youth,NPO (Transfer),"£171,840","£175,002","£279,980",Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Music in the Round,NPO,"£142,963","£145,594","£145,594",Music,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Music Managers Forum Ltd,NPO,£0,£0,"£120,000",Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Music24,NPO,£0,£0,"£95,000",Music,South East,East of England,Luton South,Luton,LUCP,Priority place,,
Musiko Musika,NPO,"£107,914","£109,900","£109,900",Music,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,,
Mytime Active,NPO,"£81,957","£83,465","£83,464",Music,London,London,Orpington,Bromley,Non-LUCP,Non-Priority place,,
National Association for Gallery Education (engage),IPSO (Transfer),"£229,806","£234,034","£234,034",Visual arts,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
National Centre for Writing,NPO,"£498,405","£507,576","£586,582",Literature,South East,East of England,Norwich South,Norwich,Non-LUCP,Non-Priority place,,
National Children's Orchestras of Great Britain,NPO,£0,£0,"£300,000",Music,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,,
National Criminal Justice Arts Alliance,IPSO,"£65,000","£66,196","£66,196",Not discipline specific,South East,East of England,West Suffolk,West Suffolk,Non-LUCP,Non-Priority place,,
National Football Museum,NPO,£0,£0,"£350,000",Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
National Justice Museum,NPO,"£240,000","£244,416","£244,416",Museums,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
National Opera Studio,NPO,"£168,221","£171,316","£171,316",Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,,
National Paralympic Heritage Trust,NPO,£0,£0,"£100,000",Museums,South East,South East,Aylesbury,Buckinghamshire,Non-LUCP,Non-Priority place,,
